name,yearFirst,yearLast,svgPath
adelaide,1985,1995,SVG/svgCircuits/Circuits_adelaide_1985.svg
ain-diab,1958,1958,SVG/svgCircuits/Circuits_ain-diab_1958.svg
aintree,1955,1962,SVG/svgCircuits/Circuits_aintree_1955.svg
albert_park,1996,2020,SVG/svgCircuits/Circuits_albert_park_1996.svg
portimao,2020,2020,SVG/svgCircuits/Circuits_portimao_2020.svg
estoril,1984,1993,SVG/svgCircuits/Circuits_estoril_1984.svg
estoril,1994,1996,SVG/svgCircuits/Circuits_estoril_1994.svg
imola,1980,1994,SVG/svgCircuits/Circuits_imola_1980.svg
imola,1995,2020,SVG/svgCircuits/Circuits_imola_1995.svg
rodriguez,1963,1970,SVG/svgCircuits/Circuits_rodriguez_1963.svg
rodriguez,1986,1992,SVG/svgCircuits/Circuits_rodriguez_1986.svg
rodriguez,2015,2020,SVG/svgCircuits/Circuits_rodriguez_2015.svg
jacarepagua,1978,1989,SVG/svgCircuits/Circuits_jacarepagua_1978.svg
interlagos,1973,1979,SVG/svgCircuits/Circuits_interlagos_1973.svg
interlagos,1990,2020,SVG/svgCircuits/Circuits_interlagos_1990.svg
galvez,1953,1960,SVG/svgCircuits/Circuits_galvez_1953.svg
galvez,1972,1973,SVG/svgCircuits/Circuits_galvez_1972.svg
galvez,1974,1981,SVG/svgCircuits/Circuits_galvez_1974.svg
galvez,1995,1998,SVG/svgCircuits/Circuits_galvez_1995.svg
monza,1950,1954,SVG/svgCircuits/Circuits_monza_1950.svg
monza,1955,1956,SVG/svgCircuits/Circuits_monza_1955.svg
monza,1957,1959,SVG/svgCircuits/Circuits_monza_1957.svg
monza,1960,1961,SVG/svgCircuits/Circuits_monza_1960.svg
monza,1962,1971,SVG/svgCircuits/Circuits_monza_1962.svg
monza,1972,1975,SVG/svgCircuits/Circuits_monza_1972.svg
monza,1976,1994,SVG/svgCircuits/Circuits_monza_1976.svg
monza,1995,1999,SVG/svgCircuits/Circuits_monza_1995.svg
monza,2000,2020,SVG/svgCircuits/Circuits_monza_2000.svg
avus,1959,1959,SVG/svgCircuits/Circuits_avus_1959.svg
bahrain,2004,2020,SVG/svgCircuits/Circuits_bahrain_2004.svg
bahrain_outer,2020,2020,SVG/svgCircuits/Circuits_bahrain_outer_2020.svg
BAK,2016,2020,SVG/svgCircuits/Circuits_BAK_2016.svg
brands_hatch,1964,1986,SVG/svgCircuits/Circuits_brands_hatch_1964.svg
buddh,2011,2013,SVG/svgCircuits/Circuits_buddh_2011.svg
lemans,1967,1967,SVG/svgCircuits/Circuits_lemans_1967.svg
las_vegas,1981,1982,SVG/svgCircuits/Circuits_las_vegas_1981.svg
charade,1965,1972,SVG/svgCircuits/Circuits_charade_1965.svg
bremgarten,1950,1954,SVG/svgCircuits/Circuits_bremgarten_1950.svg
catalunya,1991,1994,SVG/svgCircuits/Circuits_catalunya_1991.svg
catalunya,1995,2003,SVG/svgCircuits/Circuits_catalunya_1995.svg
catalunya,2004,2006,SVG/svgCircuits/Circuits_catalunya_2004.svg
catalunya,2007,2020,SVG/svgCircuits/Circuits_catalunya_2007.svg
monaco,1950,1972,SVG/svgCircuits/Circuits_monaco_1950.svg
monaco,1973,1985,SVG/svgCircuits/Circuits_monaco_1973.svg
monaco,1986,2020,SVG/svgCircuits/Circuits_monaco_1986.svg
spa,1950,1970,SVG/svgCircuits/Circuits_spa_1950.svg
spa,1983,2005,SVG/svgCircuits/Circuits_spa_1983.svg
spa,2007,2020,SVG/svgCircuits/Circuits_spa_2007.svg
monsanto,1959,1959,SVG/svgCircuits/Circuits_monsanto_1959.svg
magny_cours,1991,2002,SVG/svgCircuits/Circuits_magny_cours_1991.svg
magny_cours,2003,2008,SVG/svgCircuits/Circuits_magny_cours_2003.svg
villeneuve,1978,2020,SVG/svgCircuits/Circuits_villeneuve_1978.svg
tremblant,1968,1970,SVG/svgCircuits/Circuits_tremblant_1968.svg
americas,2012,2020,SVG/svgCircuits/Circuits_americas_2012.svg
zandvoort,1952,1985,SVG/svgCircuits/Circuits_zandvoort_1952.svg
zandvoort,2020,2020,SVG/svgCircuits/Circuits_zandvoort_2020.svg
ricard,1971,1985,SVG/svgCircuits/Circuits_ricard_1971.svg
ricard,1986,1990,SVG/svgCircuits/Circuits_ricard_1986.svg
ricard,2018,2020,SVG/svgCircuits/Circuits_ricard_2018.svg
zolder,1973,1984,SVG/svgCircuits/Circuits_zolder_1973.svg
boavista,1958,1960,SVG/svgCircuits/Circuits_boavista_1958.svg
jerez,1986,1990,SVG/svgCircuits/Circuits_jerez_1986.svg
jerez,1994,1997,SVG/svgCircuits/Circuits_jerez_1994.svg
jarama,1968,1981,SVG/svgCircuits/Circuits_jarama_1968.svg
dallas,1984,1984,SVG/svgCircuits/Circuits_dallas_1984.svg
detroit,1982,1988,SVG/svgCircuits/Circuits_detroit_1982.svg
dijon,1974,1974,SVG/svgCircuits/Circuits_dijon_1974.svg
dijon,1977,1984,SVG/svgCircuits/Circuits_dijon_1977.svg
donington,1993,1993,SVG/svgCircuits/Circuits_donington_1993.svg
fuji,1976,1977,SVG/svgCircuits/Circuits_fuji_1976.svg
fuji,2007,2008,SVG/svgCircuits/Circuits_fuji_2007.svg
long_beach,1976,1981,SVG/svgCircuits/Circuits_long_beach_1976.svg
long_beach,1982,1982,SVG/svgCircuits/Circuits_long_beach_1982.svg
long_beach,1983,1983,SVG/svgCircuits/Circuits_long_beach_1983.svg
hockenheimring,1970,1981,SVG/svgCircuits/Circuits_hockenheimring_1970.svg
hockenheimring,1982,1991,SVG/svgCircuits/Circuits_hockenheimring_1982.svg
hockenheimring,1992,2001,SVG/svgCircuits/Circuits_hockenheimring_1992.svg
hockenheimring,2002,2019,SVG/svgCircuits/Circuits_hockenheimring_2002.svg
hungaroring,1986,2002,SVG/svgCircuits/Circuits_hungaroring_1986.svg
hungaroring,2003,2020,SVG/svgCircuits/Circuits_hungaroring_2003.svg
indianapolis,1950,1960,SVG/svgCircuits/Circuits_indianapolis_1950.svg
indianapolis,2000,2007,SVG/svgCircuits/Circuits_indianapolis_2000.svg
istanbul,2005,2020,SVG/svgCircuits/Circuits_istanbul_2005.svg
yeongam,2010,2013,SVG/svgCircuits/Circuits_yeongam_2010.svg
kyalami,1967,1985,SVG/svgCircuits/Circuits_kyalami_1967.svg
kyalami,1992,1993,SVG/svgCircuits/Circuits_kyalami_1992.svg
marina_bay,2008,2020,SVG/svgCircuits/Circuits_marina_bay_2008.svg
montjuic,1969,1975,SVG/svgCircuits/Circuits_montjuic_1969.svg
mosport,1967,1977,SVG/svgCircuits/Circuits_mosport_1967.svg
mugello,2020,2020,SVG/svgCircuits/Circuits_mugello_2020.svg
nivelles,1972,1974,SVG/svgCircuits/Circuits_nivelles_1972.svg
nurburgring,1951,1976,SVG/svgCircuits/Circuits_nurburgring_1951.svg
nurburgring,1984,2001,SVG/svgCircuits/Circuits_nurburgring_1984.svg
nurburgring,2002,2020,SVG/svgCircuits/Circuits_nurburgring_2002.svg
pedralbes,1951,1954,SVG/svgCircuits/Circuits_pedralbes_1951.svg
pescara,1957,1957,SVG/svgCircuits/Circuits_pescara_1957.svg
phoenix,1989,1990,SVG/svgCircuits/Circuits_phoenix_1989.svg
phoenix,1991,1991,SVG/svgCircuits/Circuits_phoenix_1991.svg
george,1962,1965,SVG/svgCircuits/Circuits_george_1962.svg
osterreichring,1970,1987,SVG/svgCircuits/Circuits_osterreichring_1970.svg
osterreichring,1997,2020,SVG/svgCircuits/Circuits_osterreichring_1997.svg
reims,1950,1952,SVG/svgCircuits/Circuits_reims_1950.svg
reims,1953,1966,SVG/svgCircuits/Circuits_reims_1953.svg
riverside,1960,1960,SVG/svgCircuits/Circuits_riverside_1960.svg
essarts,1952,1952,SVG/svgCircuits/Circuits_essarts_1952.svg
essarts,1957,1968,SVG/svgCircuits/Circuits_essarts_1957.svg
anderstorp,1973,1978,SVG/svgCircuits/Circuits_anderstorp_1973.svg
sebring,1959,1959,SVG/svgCircuits/Circuits_sebring_1959.svg
sepang,1999,2017,SVG/svgCircuits/Circuits_sepang_1999.svg
shanghai,2004,2020,SVG/svgCircuits/Circuits_shanghai_2004.svg
silverstone,1950,1974,SVG/svgCircuits/Circuits_silverstone_1950.svg
silverstone,1975,1985,SVG/svgCircuits/Circuits_silverstone_1975.svg
silverstone,1987,1990,SVG/svgCircuits/Circuits_silverstone_1987.svg
silverstone,1991,1993,SVG/svgCircuits/Circuits_silverstone_1991.svg
silverstone,1994,1996,SVG/svgCircuits/Circuits_silverstone_1994.svg
silverstone,1997,2010,SVG/svgCircuits/Circuits_silverstone_1997.svg
silverstone,2010,2020,SVG/svgCircuits/Circuits_silverstone_2010.svg
sochi,2014,2020,SVG/svgCircuits/Circuits_sochi_2014.svg
suzuka,1987,2020,SVG/svgCircuits/Circuits_suzuka_1987.svg
okayama,1994,1995,SVG/svgCircuits/Circuits_okayama_1994.svg
valencia,2008,2012,SVG/svgCircuits/Circuits_valencia_2008.svg
watkins_glen,1961,1970,SVG/svgCircuits/Circuits_watkins_glen_1961.svg
watkins_glen,1971,1980,SVG/svgCircuits/Circuits_watkins_glen_1971.svg
yas_marina,2009,2020,SVG/svgCircuits/Circuits_yas_marina_2009.svg
zeltweg,1964,1964,SVG/svgCircuits/Circuits_zeltweg_1964.svg
